player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Alexandre Nascimento_Costa Silva,1.0,51.0,4,4,0.02,0.0,1.0,4.0,0.0,0.0027,0.0
Alexandre_Lacazette,382.0,104.0,9,4,3.67,22.0,1.04,0.0236,0.4091,0.4829,0.4444
Alexis_Mac Allister,1.0,3.0,5,3,0.33,1.0,1.0,5.0,5.0,0.0435,1.0E-4
Alexis_Sánchez,463.0,143.0,6,3,3.24,0.0,1.0,0.013,0.0,0.4263,0.0
Alex_Iwobi,315.0,143.0,5,3,2.2,3.0,1.01,0.0159,1.6667,0.2895,0.1111
Alex_McCarthy,193.0,143.0,4,1,1.35,30.0,1.05,0.0207,0.1333,0.1776,0.5556
Alex_Oxlade-Chamberlain,235.0,143.0,6,3,1.64,24.0,1.04,0.0255,0.25,0.2158,0.4444
Alfie_Whiteman,0.0,85.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alireza_Jahanbakhsh,59.0,67.0,5,3,0.88,7.0,1.01,0.0847,0.7143,0.1158,0.1111
Alisson_Ramses Becker,265.0,67.0,6,1,3.96,23.0,1.04,0.0226,0.2609,0.5211,0.4444
Allan_Saint-Maximin,55.0,29.0,5,3,1.9,18.0,1.03,0.0909,0.2778,0.25,0.3333
Andreas_Christensen,123.0,105.0,4,2,1.17,3.0,1.01,0.0325,1.3333,0.1539,0.1111
Andreas_Pereira,85.0,143.0,4,3,0.59,5.0,1.01,0.0471,0.8,0.0776,0.1111
Andrew_Robertson,534.0,143.0,7,2,3.73,26.0,1.04,0.0131,0.2692,0.4908,0.4444
Andrew_Surman,168.0,143.0,4,3,1.17,3.0,1.01,0.0238,1.3333,0.1539,0.1111
Andre_Gray,306.0,143.0,5,4,2.14,2.0,1.0,0.0163,2.5,0.2816,0.0
Andre_Green,0.0,28.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Andriy_Yarmolenko,76.0,67.0,5,3,1.13,0.0,1.0,0.0658,0.0,0.1487,0.0
Andros_Townsend,406.0,143.0,5,3,2.84,1.0,1.0,0.0123,5.0,0.3737,1.0E-4
André Filipe_Tavares Gomes,80.0,67.0,5,3,1.19,3.0,1.01,0.0625,1.6667,0.1566,0.1111
Andy_Carroll,142.0,143.0,5,4,0.99,0.0,1.0,0.0352,0.0,0.1303,0.0
Andy_King,92.0,105.0,4,3,0.88,0.0,1.0,0.0435,0.0,0.1158,0.0
Andy_Lonergan,0.0,28.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Angelo_Ogbonna,235.0,143.0,4,2,1.64,5.0,1.01,0.017,0.8,0.2158,0.1111
Angel_Gomes,5.0,50.0,4,3,0.1,0.0,1.0,0.8,0.0,0.0132,0.0
Angus_Gunn,76.0,72.0,4,1,1.06,0.0,1.0,0.0526,0.0,0.1395,0.0
Anthony_Driscoll-Glennon,0.0,17.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anthony_Gordon,2.0,18.0,4,4,0.11,1.0,1.0,2.0,4.0,0.0145,1.0E-4
Anthony_Knockaert,162.0,105.0,5,3,1.54,0.0,1.0,0.0309,0.0,0.2026,0.0
Anthony_Martial,464.0,143.0,7,3,3.24,31.0,1.05,0.0151,0.2258,0.4263,0.5556
Antonio_Rüdiger,274.0,105.0,6,2,2.61,23.0,1.04,0.0219,0.2609,0.3434,0.4444
Anwar_El Ghazi,79.0,28.0,5,3,2.82,12.0,1.02,0.0633,0.4167,0.3711,0.2222
Archie_Mair,0.0,22.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Armando_Broja,1.0,1.0,4,4,1.0,1.0,1.0,4.0,4.0,0.1317,1.0E-4
Arnaut_Danjuma Groeneveld,18.0,29.0,5,3,0.62,0.0,1.0,0.2778,0.0,0.0816,0.0
Arthur_Masuaku,176.0,143.0,4,2,1.23,1.0,1.0,0.0227,4.0,0.1618,1.0E-4
Artur_Boruc,166.0,143.0,4,1,1.16,0.0,1.0,0.0241,0.0,0.1526,0.0
Ashley_Barnes,356.0,143.0,6,4,2.49,0.0,1.0,0.0169,0.0,0.3276,0.0
Ashley_Westwood,250.0,120.0,5,3,2.08,21.0,1.04,0.02,0.2381,0.2737,0.4444
Ashley_Young,221.0,143.0,5,2,1.55,0.0,1.0,0.0226,0.0,0.2039,0.0
Asmir_Begovic,177.0,143.0,4,1,1.24,0.0,1.0,0.0226,0.0,0.1632,0.0
Axel_Tuanzebe,22.0,78.0,4,2,0.28,0.0,1.0,0.1818,0.0,0.0368,0.0
Aymeric_Laporte,234.0,80.0,6,2,2.93,13.0,1.02,0.0256,0.4615,0.3855,0.2222
Ayotomiwa_Dele-Bashiru,0.0,17.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ayoze_Pérez,375.0,105.0,6,3,3.57,23.0,1.04,0.016,0.2609,0.4697,0.4444
Bailey_Peacock-Farrell,0.0,29.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bamidele_Alli,608.0,143.0,8,3,4.25,34.0,1.06,0.0132,0.2353,0.5592,0.6667
Beni_Baningime,7.0,88.0,4,3,0.08,0.0,1.0,0.5714,0.0,0.0105,0.0
Benjamin_Chilwell,296.0,143.0,5,2,2.07,18.0,1.03,0.0169,0.2778,0.2724,0.3333
